STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,PRCP,SNOW,TMAX,TMIN
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200612,0.00,0.0,91,67
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200613,0.00,0.0,94,71
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200614,0.00,0.0,93,70
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200615,0.00,0.0,91,71
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200616,0.02,0.0,82,61
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200617,0.18,0.0,69,50
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200618,0.00,0.0,74,47
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200619,0.00,0.0,78,47
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200620,0.00,0.0,74,51
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200621,0.00,0.0,77,53
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200622,0.22,0.0,79,49
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200623,0.00,0.0,80,51
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200624,0.00,0.0,85,50
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200625,0.00,0.0,85,61
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200626,0.00,0.0,85,66
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200627,0.00,0.0,93,64
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200628,0.00,0.0,95,68
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200629,1.39,0.0,85,67
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200630,0.26,0.0,86,62
